Type,Block,ID,Replicate,Family,dam,sire,Height,MSL_W,SB,MSD,Area,P2A2,Circularity,Nindents.Peri,IndentWidthMean,IndentDepthMean
Dune,D3,D3-20,F,D3-A20,AD3-119,AD3-04,375,0.67381317,17,5.06,728.35,0.092684655,49.9,0.153332732,4.13,1.07
Dune,D3,D3-31,J,D3-A31,AD3-129,AD3-106,375,0.589211618,18,4.51,820.66,0.040311574,55.79,0.163864781,4.7,0.98
Dune,D1,D1-11,H,D1-A11,AD1-37,AD1-17,376,0.342361863,14,4.13,770.04,0.084000907,39.38,0.129939959,6.21,0.67
Dune,D3,D3-01,H,D3-A01,AD3-131,AD3-116,377,0.288864388,16,4.64,803.4,0.04588789,44.64,0.116211505,7.22,1.15
Dune,D3,D3-31,F,D3-A31,AD3-129,AD3-106,378,0.534131737,16,5.73,1264.17,0.023349006,45.08,0.129419682,7.7,0.73
Dune,D3,D3-32,H,D3-A32,AD3-104,AD3-112,378,0.560625815,18,5.03,709.74,0.059201923,50.58,0.185303144,4.18,0.81
Dune,D3,D3-10,G,D3-A10,AD3-28,AD3-101,378,0.516976999,19,5.3,624.39,0.061148064,99.43,0.148963731,6.21,0.6
Dune,D3,D3-18,K,D3-A18,AD3-123,AD3-08,380,0.534521158,15,3.81,773.7,0.080589354,36.61,0.091058095,7.51,1.65
Dune,D3,D3-18,L,D3-A18,AD3-123,AD3-08,380,0.554973822,16,4.01,814.06,0.049961909,42.35,0.104418554,10.9,1.29
Dune,D1,D1-25,F,D1-A25,AD1-47,AD1-13,381,0.376357057,13,5.13,480.52,0.099889778,51.59,0.144860736,5.06,0.88
Dune,D1,D1-34,F,D1-A34,AD1-39A,AD1-19,384,0.311015119,14,5.34,990.82,0.080327924,45.25,0.103268998,5.79,1.86
Dune,D3,D3-09,F,D3-A09,AD3-29,AD3-114,384,0.379596679,14,4.76,502.81,0.089626887,33.33,0.099647911,3.59,0.41
Dune,D3,D3-04,F,D3-A04,AD3-127,AD3-107,384,0.584347826,15,4.66,1187.78,0.055964124,49.79,0.117441902,5.7,1.66
Dune,D3,D3-14,H,D3-A14,AD3-24,AD3-01,385,0.377406932,16,5.24,1085.98,0.06202438,48.39,0.136803964,5.25,0.75
Dune,D3,D3-27,F,D3-A27,AD3-27,AD3-01,386,0.411940299,17,5.03,1364.53,0.028223744,50.35,0.117780492,6.79,1.34
Dune,D3,D3-30,H,D3-A30,AD3-28,AD3-100,388,0.392523364,16,4.44,1013.79,0.043367336,52.29,0.137362637,5.57,0.71
Dune,D3,D3-13,Z,D3-A13,AD3-21,AD3-111,388,0.608571429,16,3.77,528.26,0.111506891,42.32,0.14739229,4.29,0.72
Dune,D3,D3-08,F,D3-A08,AD3-30,AD3-108,389,0.344700461,14,4.62,506.09,0.085901843,39.88,0.114609317,6.99,0.69
Dune,D3,D3-05,F,D3-A05,AD3-126,AD3-106,389,0.353393086,15,4.81,785.88,0.042887381,52.8,0.19047619,4.33,0.74
Dune,D1,D1-03,F,D1-A03,AD1-29,AD1-100A,389,0.318225651,17,4.57,722.65,0.078801925,41.68,0.123237701,6.06,1.1
Dune,D3,D3-12,H,D3-A12,AD3-26,AD3-109,390,0.41136141,14,4.51,654.77,0.061138693,49.28,0.166769611,5.06,0.47
Dune,D1,D1-33,G,D1-A33,AD1-27,AD1-22,390,0.27442371,15,4.48,992.49,0.085630932,72.02,0.123954137,4.57,1.22
Dune,D1,D1-32,G,D1-A32,AD1-25,AD1-203A,393,0.543922984,14,4.76,839.76,0.153052243,49.13,0.10349131,5.09,1.6
Dune,D3,D3-28,G,D3-A28,AD3-24,AD3-105,393,0.402352941,16,4.96,402.35,0.245829642,45.16,0.120306782,5,1.4
Dune,D3,D3-08,G,D3-A08,AD3-30,AD3-108,394,0.344278607,15,4.54,654.35,0.073856691,44.06,0.163077096,4.2,0.95
Dune,D1,D1-13,G,D1-A13,AD1-27,AD1-15,394,0.289447236,18,5,1111.01,0.084589922,41.85,0.086652431,6.93,2.09
Dune,D3,D3-26,F,D3-A26,AD3-30,AD3-109,395,0.554360812,14,3.35,1034.64,0.056150823,39.58,0.101970062,6.67,1.55
Dune,D1,D1-25,H,D1-A25,AD1-47,AD1-13,395,0.397022333,15,6.02,1343.4,0.047829176,42.08,0.095302927,6.59,1.84
Dune,D3,D3-21,H,D3-A21,AD3-118,AD3-03,395,0.453016815,15,4.29,1575.27,0.019025212,51.43,0.110456554,7.54,1.13
Dune,D3,D3-21,J,D3-A21,AD3-118,AD3-03,395,0.565445026,16,4.17,581.14,0.069060591,43.92,0.137506548,5.23,0.86
Dune,D3,D3-06,H,D3-A06,AD3-104,AD3-121,395,0.30718232,17,4.63,863.65,0.048945126,49.99,0.136075784,5.46,0.8
