Ecotype,Population,VegHeight,MSL_W,SB,MSD,Area,P2A2,Circularity,Nindents.Peri,IndentWidth,IndentDepth
Tableland,T1,673,0.638977636,26,7.52,1511.287886,0.05369167,46.34928933,0.134213808,4.408833235,1.528319984
Tableland,T1,762,0.729090909,21,8.62,1908.581739,0.025048039,53.18790512,0.221807982,3.550761322,1.002810343
Tableland,T1,613,1.226470588,22,8.92,925.6433196,0.046959756,71.86339739,0.17448635,3.742063917,0.901322527
Tableland,T1,451,0.75,19,6.08,2351.180345,0.025342469,46.40352783,0.144272433,4.952366746,1.525282841
Tableland,T1,435,0.684931507,23,9.13,766.0538078,0.051565602,44.7394462,0.183954601,4.397060161,0.797144902
Tableland,T1,404,0.603729604,17,8.13,2866.182739,0.018914125,53.60714952,0.134455592,3.913436512,1.042105299
Tableland,T13,955,0.77212806,20,8.45,1014.881893,0.079114966,39.51542507,0.133118609,4.824330565,1.58964358
Tableland,T13,562,0.93481276,26,5.25,2073.74733,0.045822019,42.71118107,0.090108766,6.429237689,1.8779111
Tableland,T13,413,1.117088608,21,6.02,1838.884303,0.101203268,40.46791622,0.104274511,5.016175812,1.026802598
Tableland,T13,713,1.325581395,31,7.59,1032.441215,0.186977152,42.30002271,0.127677759,4.133906817,1.354094045
Tableland,T13,725,1.593103448,28,6.31,2872.412321,0.029685051,56.45350299,0.119216491,5.223986198,1.735343751
Tableland,T13,665,0.880658436,24,5.75,1668.625657,0.041907778,50.97441325,0.131736548,4.343697675,1.398864141
Tableland,T13,572,1.017326733,27,6.42,1480.218116,0.071401764,43.49852245,0.118827695,4.43317596,1.605447751
Tableland,T13,445,0.664780764,21,6.11,1359.384129,0.100805545,45.53699752,0.143650547,3.780118686,1.444187425
Tableland,T13,748,0.898236092,26,5.2,2268.14294,0.052376784,41.73475359,0.138705174,4.517725874,1.48814174
Tableland,T13,625,1.264746228,28,5.91,1360.087355,0.078104982,42.66520707,0.115756798,4.751265751,1.609157293
Tableland,T5,335,0.564885496,30,6.36,522.5034633,0.084862614,46.35329797,0.236513058,4.118008347,0.521383496
Tableland,T5,381,0.716713881,31,6.72,675.6289854,0.104224845,57.11678858,0.183385962,3.358086356,1.403896694
Tableland,T5,733,1.384785006,21,5.61,847.4787677,0.060436394,61.49883753,0.187191666,4.123967617,1.34615915
Tableland,T5,281,0.654232425,28,7.61,585.4598813,0.112796197,77.08110906,0.152572719,4.747521741,1.439889454
Tableland,T5,314,0.622162884,21,7.63,622.1980731,0.090673601,55.77537072,0.213496568,3.238460862,1.133872755
Tableland,T5,344,0.540948276,29,5.85,1034.827919,0.062110616,89.21237086,0.170608875,4.454917409,1.258793024
Tableland,T5,285,0.464500602,31,6.7,580.0400746,0.083860579,44.2046469,0.178601181,4.697544989,0.940155214
Tableland,T5,301,0.588522589,31,6.4,716.7001813,0.16766475,32.9788419,0.156747071,4.22458786,1.289390805
Tableland,T5,271,0.575803982,29,7.96,742.7834451,0.056183878,58.64918946,0.193112705,4.2544967,1.003859262
Tableland,T5,333,0.665792923,27,7.17,506.1090807,0.072240054,86.73027908,0.220540367,3.810549081,0.785026197
Tableland,T5,257,0.545454545,32,7.18,929.237582,0.054249503,42.77681489,0.166332782,4.935154574,1.219243498
Tableland,T5,392,0.670506912,35,7.43,634.7495783,0.107733645,52.8479956,0.172792307,3.562000535,1.341718096
Tableland,T5,405,0.653696498,29,6.42,634.7282684,0.077457975,48.18554778,0.169824501,4.736658045,1.124593565
Tableland,T5,345,0.698224852,19,8.64,1307.047123,0.050094033,65.01073279,0.194845604,3.150736848,1.309248072
Tableland,T5,357,0.614775726,28,6.42,719.1224016,0.152955831,44.38529681,0.188447349,2.989293544,1.106139911
Tableland,T5,295,0.471299094,36,6.54,608.5384554,0.073838219,90.12156538,0.241897488,3.49156913,0.767732639
Tableland,T9,709,1.366161616,25,8.04,1787.59148,0.038431884,44.34873967,0.165506052,4.768609279,1.016825571
Tableland,T9,482,0.624825662,22,7.67,2020.259591,0.026186923,57.95418799,0.162116216,3.930566433,1.380585854
Tableland,T9,841,0.890343699,29,7.45,1553.524021,0.040031802,60.86313839,0.215553093,3.449076749,0.826299432
Tableland,T9,465,0.950769231,26,6.4,1637.456441,0.034716576,55.38062528,0.13438341,3.958851432,1.020882056
Tableland,T9,865,0.796545106,26,8.02,1144.23272,0.048211927,52.84320215,0.163189514,4.53657359,1.229620246
Tableland,T9,455,0.866477273,27,8.22,988.6139442,0.053770442,49.22379448,0.209383619,3.717888419,1.01183902
Tableland,T9,998,0.796491228,24,9.43,2005.18642,0.026213337,44.72033257,0.178653729,3.870655465,1.081271668
Tableland,T9,631,1.276983095,25,7.14,1709.277759,0.044204692,61.20961317,0.17252215,3.133293706,1.13911802
Tableland,T9,804,0.536934075,23,8.55,1481.823459,0.046344489,46.41191186,0.122255693,5.154117996,1.484638504
