studyID	enter	check	reference	journal	year	family	genus	epithet	species	where	studytype	SC	matingsystem	tm_species_Moeller	tm_pop	outcrossing_best	matingsystem_certain	pollinator_group	pollinator	mating_system_evidence	population	lat	lon	environment	morph	traitgroup1	traitgroup2	traitgroup3	traitX	traitY	scale	dimension	method	h2type	nfam	n	h2	mean	Vp	CVa	isCor	corA	Va	evolvability	e_on_log	Ie	notes
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	corolla_tube_width	flower_number	NA	NA	NA	phenotypic	NA	70	NA	NA	0.355	NA	0	NA	0.355	NA	NA	NA	NA
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	stigma_nectary_distance	stigma_exsertion	NA	NA	NA	phenotypic	NA	70	NA	NA	2.11	NA	0	NA	2.11	NA	NA	NA	NA
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	stigma_nectary_distance	flower_number	NA	NA	NA	phenotypic	NA	70	NA	NA	0.587	NA	0	NA	0.587	NA	NA	NA	NA
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	stigma_exsertion	flower_number	NA	NA	NA	phenotypic	NA	70	NA	NA	0.804	NA	0	NA	0.804	NA	NA	NA	NA
																																															
																																															
																																															
																																															
																																															
																																															
																																															
