"","Focal","Other","NN","QGr","Rr","LRr","Wr"
"67","1","29","0",-0.064,-0.001,-0.037,-0.098
"68","1","30","0",-0.037,0.024,-0.026,-0.067
"69","1","32","0",-0.106,0.001,-0.044,-0.147
"70","1","37","0",0.145,0.076,0.031,0.01
"71","1","39","0",-0.013,0.012,-0.023,-0.092
"72","1","40","0",-0.039,0.049,-0.004,-0.083
"73","1","43","0",-0.202,-0.001,-0.055,-0.186
"74","1","45","0",-0.001,0.069,0.015,-0.038
"75","1","46","0",0.071,0.034,-0.017,0.02
"76","1","47","0",-0.108,0.031,-0.02,-0.107
"77","1","48","0",-0.026,0.077,0.016,-0.066
"78","1","49","0",0.035,0.029,-0.022,-0.035
"79","1","50","0",-0.037,0.017,-0.033,-0.099
"80","1","51","0",-0.073,0.038,-0.013,-0.13
"81","1","52","0",0.03,0.042,-0.006,-0.037
"82","1","53","0",-0.037,0.016,-0.033,-0.093
"83","1","54","0",-0.037,0.032,-0.018,-0.079
"84","1","55","0",0.087,0.104,0.05,0.015
"85","1","56","0",0.097,0.054,-0.004,-0.05
"86","1","58","0",-0.001,0.006,-0.042,-0.1
"87","1","59","0",-0.03,0.003,-0.041,-0.094
"88","1","60","0",-0.144,0.115,0.056,-0.147
"89","1","66","0",-0.016,0.003,-0.041,-0.125
"90","1","67","0",-0.001,0.011,-0.038,-0.1
"91","1","68","0",-0.037,0.005,-0.05,-0.105
"92","1","69","0",-0.113,-0.003,-0.046,-0.17
"93","1","71","0",-0.001,0.025,-0.026,-0.059
"94","1","72","0",0.088,0.058,0.007,-0.03
"95","1","73","0",0.058,0.09,0.059,0.017
"96","1","74","0",0.027,0.111,0.039,-0.088
"97","1","75","0",-0.038,-0.002,-0.054,-0.1
"98","1","76","0",-0.001,0.026,-0.025,-0.059
"99","1","77","0",0.037,0.041,-0.013,-0.017
"100","1","78","0",-0.076,0.036,-0.014,-0.061
"101","1","79","0",-0.106,0.024,-0.022,-0.13
"102","1","80","0",-0.122,0.037,-0.019,-0.085
"103","1","81","0",-0.001,0.022,-0.028,-0.04
"104","1","82","0",-0.001,0.013,-0.036,-0.045
"105","1","83","0",-0.001,0.028,-0.023,-0.055
"106","1","84","0",-0.081,0.001,-0.064,-0.128
"107","1","85","0",-0.073,0.002,-0.047,-0.121
"108","1","86","0",-0.052,-0.002,-0.043,-0.117
"109","1","2D","0",-0.039,0.024,-0.035,-0.091
"110","1","N1","0",-0.016,0.134,0.067,-0.045
"111","1","N2","0",0.035,0.04,-0.012,-0.049
"112","1","N6","0",-0.18,0.009,-0.04,-0.146
"113","1","N3","0",0.035,0.017,-0.033,-0.033
"114","1","N5","0",0.035,0.042,-0.01,-0.068
"115","1","N8","0",-0.033,0.01,-0.048,-0.115
"116","2","3","0",0.01,0.058,0.003,-0.078
"117","2","4","0",-0.067,0.003,-0.03,-0.128
"118","2","5","0",-0.067,-0.005,-0.035,-0.151
"119","2","6","0",0.148,0.06,0.006,0.046
"120","2","7","0",-0.059,-0.003,-0.032,-0.175
"121","2","8","0",-0.067,-0.005,-0.035,-0.151
"122","2","9","0",0.122,0.061,0.009,-0.021
"123","2","12","0",-0.014,0,-0.026,-0.108
"124","2","13","0",-0.199,-0.017,-0.04,-0.283
"125","2","14","0",0.085,0.028,-0.015,-0.056
"126","2","15","0",0.027,0.028,-0.013,-0.03
"127","2","16","0",-0.13,-0.01,-0.038,-0.186
"128","2","17","0",-0.067,0.046,0,-0.034
"129","2","20","0",-0.067,-0.005,-0.035,-0.151
"130","2","21","0",0.08,0.138,0.049,0.104
"131","2","22","0",0.122,0.083,0.024,0.035
"132","2","23","0",-0.004,0.031,-0.011,-0.074
"133","2","24","0",-0.001,0.048,-0.004,-0.11
"134","2","26","0",0.138,0.13,0.057,0.059
"135","2","27","0",-0.004,0.035,-0.008,-0.101
"136","2","28","0",0.059,0.06,0.009,-0.014
"137","2","29","0",0.034,0.035,-0.008,0
"138","2","30","0",0.059,0.04,-0.004,-0.019
"139","2","32","0",-0.004,0.016,-0.021,-0.106
"140","2","37","0",0.115,0.069,0.015,-0.003
"141","2","39","0",-0.005,0.014,-0.014,-0.057
"142","2","40","0",-0.004,0.094,0.031,-0.087
"143","2","43","0",-0.081,0.015,-0.025,-0.149
"144","2","45","0",-0.13,-0.01,-0.038,-0.186
"145","2","46","0",-0.036,0.008,-0.026,-0.075
"146","2","47","0",-0.099,0.027,-0.014,-0.084
"147","2","48","0",-0.063,0.112,0.036,-0.126
"148","2","49","0",0.153,0.091,0.03,0.077
"149","2","50","0",-0.067,-0.005,-0.035,-0.151
"150","2","51","0",-0.067,-0.005,-0.035,-0.151
"151","2","52","0",0.085,0.185,0.094,0.072
"152","2","53","0",-0.067,-0.005,-0.035,-0.151
"153","2","54","0",-0.067,-0.005,-0.035,-0.151
"154","2","55","0",0.168,0.132,0.064,0.067
"155","2","56","0",0.045,0.072,0.011,-0.029
"156","2","58","0",-0.067,-0.005,-0.035,-0.151
"157","2","59","0",0.059,0.099,0.035,-0.015
"158","2","60","0",-0.067,0.01,-0.025,-0.152
"159","2","66","0",-0.059,-0.003,-0.032,-0.175
"160","2","67","0",0.059,0.021,-0.017,-0.071
"161","2","68","0",-0.039,0.018,-0.022,-0.079
"162","2","69","0",-0.108,0.013,-0.038,-0.145
"163","2","70","0",0.09,0.119,0.048,0.047
"164","2","71","0",0.09,0.039,-0.005,-0.011
"165","2","72","0",0.01,0.049,-0.002,-0.109
"166","2","73","0",-0.081,-0.003,-0.038,-0.148
"167","2","74","0",-0.092,-0.017,-0.033,-0.216
"168","2","75","0",0.01,0.016,-0.017,-0.037
"169","2","76","0",-0.067,-0.005,-0.035,-0.151
"170","2","77","0",-0.024,0.02,-0.018,-0.095
"171","2","78","0",-0.067,0.003,-0.03,-0.128
"172","2","79","0",-0.13,-0.01,-0.038,-0.186
"173","2","80","0",-0.099,0.054,0.005,-0.084
"174","2","81","0",0.027,0.026,-0.014,-0.032
"175","2","82","0",-0.036,0.008,-0.026,-0.075
"176","2","83","0",0.059,0.04,-0.004,-0.019
"177","2","84","0",-0.067,-0.005,-0.035,-0.151
"178","2","85","0",0.027,0.026,-0.014,-0.032
"179","2","86","0",-0.15,-0.014,-0.032,-0.191
"180","2","2D","0",-0.067,-0.005,-0.035,-0.151
"181","2","N1","0",0.01,0.023,-0.016,-0.116
"182","2","N2","0",0.09,0.116,0.046,0.034
"183","2","N6","0",-0.099,0.043,-0.003,-0.113
"184","2","N3","0",-0.036,0.008,-0.026,-0.075
"185","2","N5","0",0.122,0.061,0.009,-0.021
"186","2","N8","0",-0.041,0.028,-0.037,-0.08
"187","3","4","0",-0.008,0.063,0.004,0.053
"188","3","5","0",0.041,0.057,-0.005,0.035
"189","3","6","0",-0.093,0.024,-0.057,-0.1
"190","3","7","0",-0.05,0.025,-0.048,-0.059
"191","3","8","0",-0.092,0.013,-0.063,-0.065
"192","3","9","0",-0.135,0.027,-0.045,-0.105
"193","3","12","0",0.148,0.065,0.018,0.003
"194","3","13","0",0.161,0.063,0.004,0.021
"195","3","14","0",-0.012,0.033,-0.037,-0.075
"196","3","15","0",-0.008,0.041,-0.026,0.019
"197","3","16","0",0.161,0.197,0.184,0.236
"198","3","17","0",-0.092,0.021,-0.053,-0.042
"199","3","20","0",-0.051,0.037,-0.03,-0.036
"200","3","21","0",0.034,0.055,-0.007,0.097
"201","3","22","0",0.161,0.081,0.028,0.106
"202","3","23","0",-0.092,0.011,-0.066,-0.127
"203","3","24","0",0.065,0.068,-0.001,0.076
"204","3","26","0",0.048,0.113,0.084,-0.009
"205","3","27","0",0.077,0.065,0.006,0.067
"206","3","28","0",0.119,0.06,-0.001,0.056
"207","3","29","0",-0.049,0.021,-0.077,0.004
"208","3","30","0",-0.092,0.021,-0.052,-0.047
"209","3","32","0",-0.065,0.019,-0.047,-0.023
"210","3","37","0",0.001,0.059,-0.01,-0.05
"211","3","39","0",0.002,0.032,-0.022,-0.01
"212","3","40","0",0.041,0.05,-0.013,-0.045
"213","3","43","0",0.045,0.171,0.134,0.034
"214","3","46","0",-0.05,0.04,-0.028,-0.043
"215","3","47","0",-0.219,0.004,-0.076,-0.147
"216","3","48","0",-0.143,0.013,-0.072,-0.069
"217","3","49","0",0.119,0.054,-0.009,0.056
"218","3","50","0",-0.092,0.085,0.033,-0.081
"219","3","51","0",-0.092,0.018,-0.058,-0.142
"220","3","52","0",-0.056,0.019,-0.048,-0.091
"221","3","53","0",-0.05,0.061,0.001,-0.022
"222","3","54","0",0.204,0.135,0.1,0.125
"223","3","55","0",-0.012,0.056,-0.009,-0.068
"224","3","56","0",-0.008,0.042,-0.024,-0.019
"225","3","58","0",-0.092,0.011,-0.066,-0.127
"226","3","59","0",0.109,0.051,-0.006,0.079
"227","3","60","0",-0.177,0.014,-0.062,-0.118
"228","3","66","0",0.109,0.041,-0.019,0.028
"229","3","67","0",-0.05,0.023,-0.05,-0.077
"230","3","68","0",0.045,0.032,-0.038,0.013
"231","3","69","0",-0.211,0.004,-0.097,-0.143
"232","3","70","0",-0.082,0.031,-0.033,-0.039
"233","3","71","0",0.119,0.082,0.029,0.099
"234","3","72","0",0.122,0.059,0.005,0.041
"235","3","73","0",-0.009,0.04,-0.027,-0.09
"236","3","74","0",-0.066,0.021,-0.057,-0.044
"237","3","75","0",0.117,0.038,-0.013,0.015
"238","3","76","0",-0.008,0.03,-0.041,-0.019
"239","3","77","0",0.074,0.038,-0.021,0.015
"240","3","78","0",-0.067,0.134,0.098,0.002
"241","3","79","0",-0.065,0.144,0.118,-0.009
"242","3","80","0",-0.143,0.013,-0.061,-0.128
"243","3","81","0",-0.05,0.037,-0.031,0.015
"244","3","82","0",-0.008,0.138,0.104,-0.015
"245","3","83","0",-0.135,0.013,-0.064,-0.106
"246","3","84","0",-0.143,0.021,-0.05,-0.163
"247","3","85","0",0.034,0.048,-0.016,0.057
"248","3","86","0",-0.203,-0.005,-0.073,-0.159
"249","3","2D","0",0.041,0.04,-0.027,-0.003
"250","3","N1","0",-0.152,0.007,-0.063,-0.079
"251","3","N2","0",0.077,0.057,-0.005,0.033
"252","3","N6","0",0.034,0.125,0.087,0.065
"253","3","N3","0",-0.05,0.024,-0.048,-0.062
"254","3","N5","0",0.119,0.09,0.04,0.029
"255","3","N8","0",0.101,0.046,-0.046,0.035
"256","4","5","0",0.124,0.059,0.003,0.025
"257","4","6","0",0.014,0.048,-0.008,-0.039
"258","4","7","0",-0.024,0.026,-0.022,-0.066
"259","4","8","0",0.148,0.132,0.055,0.132
"260","4","9","0",-0.133,0.005,-0.035,-0.132
"261","4","12","0",0.029,0.031,-0.012,-0.061
"262","4","13","0",0.016,0.097,0.024,-0.049
"263","4","14","0",0.037,0.03,-0.017,-0.063
"264","4","15","0",-0.028,0.023,-0.022,-0.044
"265","4","16","0",0.043,0.088,0.024,0.076
"266","4","17","0",0.043,0.153,0.07,0.112
"267","4","20","0",0.124,0.068,0.009,0.015
"268","4","21","0",-0.105,0.167,0.069,0.004
"269","4","22","0",0.043,0.029,-0.018,-0.02
"270","4","23","0",-0.063,0.01,-0.032,-0.119
"271","4","24","0",0.175,0.095,0.025,0.078
"272","4","26","0",0.115,0.044,-0.012,-0.025
"273","4","27","0",0.078,0.051,-0.003,0.022
"274","4","28","0",-0.063,0.009,-0.032,-0.095
"275","4","29","0",-0.015,0.012,-0.04,-0.023
"276","4","30","0",-0.028,0.022,-0.023,-0.043
"277","4","32","0",0.109,0.065,0.011,0.044
"278","4","37","0",-0.199,-0.003,-0.035,-0.173
"279","4","39","0",-0.044,0.009,-0.037,-0.085
"280","4","40","0",0.236,0.224,0.112,0.112
"281","4","43","0",0.037,0.112,0.037,0.005
"282","4","45","0",-0.168,0.005,-0.035,-0.115
"283","4","47","0",-0.063,0.032,-0.016,-0.069
"284","4","48","0",-0.107,0.01,-0.037,-0.073
"285","4","49","0",0.078,0.092,0.026,0.023
"286","4","50","0",0.043,0.104,0.035,-0.057
"287","4","51","0",0.078,0.033,-0.015,-0.071
"288","4","52","0",-0.033,0.016,-0.024,-0.091
"289","4","53","0",0.043,0.047,-0.005,-0.037
"290","4","54","0",0.113,0.036,-0.013,-0.025
"291","4","55","0",-0.01,0.045,-0.007,-0.073
"292","4","56","0",0.016,0.051,-0.006,-0.007
"293","4","58","0",-0.063,0.089,0.024,-0.067
"294","4","59","0",0.022,0.024,-0.019,-0.011
"295","4","60","0",-0.133,0.012,-0.03,-0.125
"296","4","66","0",0.036,0.022,-0.021,-0.043
"297","4","67","0",-0.098,0.01,-0.031,-0.121
"298","4","68","0",0.037,0.026,-0.02,-0.026
"299","4","69","0",-0.124,0.007,-0.034,-0.083
"300","4","70","0",-0.13,-0.002,-0.033,-0.142
"301","4","71","0",-0.063,0.02,-0.024,-0.071
"302","4","72","0",-0.014,0.014,-0.024,-0.076
"303","4","73","0",0.094,0.142,0.053,0.057
"304","4","74","0",-0.041,0.025,-0.033,-0.048
"305","4","75","0",0.021,0.01,-0.022,-0.07
"306","4","76","0",-0.028,0.019,-0.025,-0.064
"307","4","77","0",-0.014,0.016,-0.023,-0.063
"308","4","78","0",-0.209,-0.004,-0.035,-0.105
"309","4","79","0",-0.195,0.018,-0.023,-0.106
"310","4","80","0",-0.027,0.019,-0.023,-0.076
"311","4","81","0",-0.063,0.014,-0.029,-0.07
"312","4","82","0",0.043,0.038,-0.011,-0.031
"313","4","83","0",0.043,0.061,0.005,-0.026
"314","4","84","0",-0.027,0.025,-0.019,-0.1
"315","4","85","0",0.008,0.029,-0.018,-0.013
"316","4","86","0",-0.241,-0.005,-0.047,-0.159
"317","4","2D","0",0.124,0.052,-0.001,0.02
"318","4","N1","0",-0.067,0.019,-0.023,-0.023
"319","4","N2","0",-0.028,0.014,-0.028,-0.075
"320","4","N6","0",0.078,0.037,-0.012,-0.027
"321","4","N3","0",-0.098,0.06,0.004,-0.098
"322","4","N5","0",-0.028,0.032,-0.016,-0.085
"323","4","N8","0",0.106,0.041,-0.014,0.015
"324","5","6","0",0.025,0.083,0.023,0.052
"325","5","7","0",0.159,0.123,0.059,0.09
"326","5","8","0",0.009,0.029,-0.025,-0.018
"327","5","9","0",-0.154,0.017,-0.038,-0.132
"328","5","12","0",0.051,0.091,0.039,0.015
"329","5","13","0",-0.012,0.034,-0.025,-0.111
"330","5","14","0",0.059,0.098,0.085,0.022
"331","5","15","0",-0.187,0.004,-0.052,-0.157
"332","5","16","0",-0.056,0.025,-0.03,-0.044
"333","5","17","0",0.009,0.04,-0.015,-0.017
"334","5","20","0",0.075,0.095,0.042,0.073
"335","5","21","0",-0.097,0.083,0.021,-0.021
"336","5","22","0",0.009,0.026,-0.029,-0.023
"337","5","23","0",-0.089,0.006,-0.05,-0.133
"338","5","24","0",0.315,0.176,0.112,0.274
"339","5","26","0",-0.181,0.01,-0.046,-0.184
"340","5","27","0",0.304,0.168,0.117,0.276
"341","5","28","0",0.009,0.02,-0.035,-0.051
"342","5","29","0",-0.05,0.007,-0.033,-0.072
"343","5","30","0",-0.121,0.012,-0.044,-0.117
"344","5","32","0",0.111,0.119,0.074,0.092
"345","5","37","0",-0.08,0.013,-0.078,-0.108
"346","5","39","0",0.192,0.058,0.009,0.057
"347","5","40","0",0.173,0.06,0.007,0.015
"348","5","43","0",-0.125,0.042,-0.026,-0.063
"349","5","45","0",-0.121,0.011,-0.044,-0.127
"350","5","46","0",0.009,0.066,0.012,0.015
"351","5","47","0",-0.056,0.062,0.008,0.007
"352","5","49","0",-0.023,0.023,-0.032,-0.071
"353","5","50","0",-0.089,0.048,-0.006,-0.057
"354","5","51","0",-0.023,0.059,0.005,-0.049
"355","5","52","0",-0.123,0.005,-0.045,-0.123
"356","5","53","0",0.075,0.095,0.042,0.073
"357","5","54","0",0.009,0.022,-0.033,-0.048
"358","5","55","0",-0.162,0.002,-0.108,-0.164
"359","5","56","0",0.031,0.045,-0.015,-0.015
"360","5","58","0",-0.089,0.006,-0.05,-0.133
"361","5","59","0",0.111,0.059,0.01,0.08
"362","5","60","0",-0.219,0.003,-0.053,-0.16
"363","5","66","0",0.168,0.045,-0.009,0.03
"364","5","67","0",0.075,0.092,0.039,0.024
"365","5","68","0",0.132,0.045,-0.021,0.023
"366","5","69","0",-0.065,0.016,-0.037,-0.096
"367","5","70","0",-0.01,0.069,0.016,0.018
"368","5","71","0",-0.089,0.031,-0.024,-0.069
"369","5","72","0",0.121,0.036,-0.018,0.01
"370","5","73","0",-0.015,0.033,-0.045,-0.083
"371","5","74","0",-0.049,0.02,-0.034,-0.1
"372","5","75","0",0.099,0.027,-0.018,-0.017
"373","5","76","0",0.14,0.065,0.011,0.042
"374","5","77","0",0.216,0.076,0.021,0.104
"375","5","78","0",-0.173,0.029,-0.021,-0.096
"376","5","79","0",-0.173,0.029,-0.021,-0.096
"377","5","80","0",0.042,0.084,0.031,0.037
"378","5","81","0",0.009,0.037,-0.017,0.018
"379","5","82","0",0.009,0.027,-0.028,-0.051
"380","5","83","0",-0.154,0.022,-0.033,-0.14
"381","5","84","0",-0.023,0.027,-0.028,-0.093
"382","5","85","0",-0.056,0.023,-0.032,-0.064
"383","5","86","0",0.141,0.097,0.106,0.098
"384","5","2D","0",0.271,0.14,0.088,0.187
"385","5","N1","0",-0.258,0.024,-0.029,-0.122
"386","5","N2","0",-0.089,0.006,-0.049,-0.112
"387","5","N6","0",-0.023,0.058,0.005,0.028
"388","5","N3","0",-0.056,0.009,-0.046,-0.095
"389","5","N5","0",-0.121,0.019,-0.036,-0.129
"390","5","N8","0",0.078,0.046,-0.04,0.033
"391","6","7","0",-0.147,0.041,-0.082,-0.104
"392","6","8","0",0.003,0.051,-0.021,0.027
"393","6","9","0",0.039,0.057,-0.003,-0.006
"394","6","12","0",-0.24,0.005,-0.205,-0.128
"395","6","13","0",-0.101,0.043,-0.076,-0.07
"396","6","14","0",0.108,0.054,-0.018,-0.021
"397","6","15","0",0.003,0.062,0.011,0.047
"398","6","16","0",-0.139,0.036,-0.07,-0.08
"399","6","17","0",0.039,0.088,0.095,0.094
"400","6","20","0",-0.052,0.04,-0.06,-0.054
"401","6","21","0",-0.055,0.042,-0.078,-0.027
"402","6","22","0",-0.032,0.058,-0.001,0.019
"403","6","23","0",-0.139,0.011,-0.148,-0.135
"404","6","24","0",-0.056,0.053,-0.039,-0.047
"405","6","26","0",0.266,0.095,0.08,0.095
"406","6","27","0",-0.068,0.066,0.025,0.005
"407","6","28","0",0.074,0.072,0.045,0.087
"408","6","29","0",0.073,0.046,-0.019,0.009
"409","6","30","0",0.358,0.163,0.329,0.331
"410","6","32","0",0.087,0.075,0.074,0.05
"411","6","37","0",-0.015,0.058,0.007,0.087
"412","6","39","0",0.049,0.028,-0.089,-0.039
"413","6","40","0",-0.17,0.018,-0.133,-0.119
"414","6","43","0",-0.049,0.064,0.01,-0.009
"415","6","45","0",-0.174,0.052,-0.021,-0.14
"416","6","46","0",-0.032,0.075,0.052,0.043
"417","6","47","0",-0.068,0.107,0.153,0.074
"418","6","48","0",-0.139,0.041,-0.053,-0.045
"419","6","49","0",0.181,0.088,0.092,0.119
"420","6","50","0",-0.068,0.041,-0.054,-0.072
"421","6","51","0",-0.068,0.019,-0.122,-0.12
"422","6","52","0",-0.11,0.014,-0.135,-0.084
"423","6","53","0",-0.139,0.015,-0.135,-0.115
"424","6","54","0",-0.139,0.011,-0.148,-0.143
"425","6","55","0",0.226,0.076,0.045,0.087
"426","6","56","0",0.038,0.071,0.013,0.106
"427","6","58","0",-0.174,0.005,-0.166,-0.148
"428","6","59","0",0.087,0.072,0.065,0.129
"429","6","60","0",0.003,0.071,0.039,0.061
"430","6","66","0",-0.097,0.021,-0.145,-0.116
"431","6","67","0",0.145,0.064,0.019,0.032
"432","6","68","0",-0.009,0.049,-0.036,0.04
"433","6","69","0",0.034,0.073,0.044,0.001
"434","6","70","0",0.036,0.073,0.055,0.051
"435","6","71","0",0.003,0.058,-0.002,-0.01
"436","6","72","0",0.153,0.094,0.14,0.181
"437","6","74","0",-0.098,0.019,-0.137,-0.131
"438","6","75","0",0.178,0.063,0.065,0.16
"439","6","76","0",0.003,0.051,-0.023,0.059
"440","6","77","0",-0.02,0.05,-0.047,0.04
"441","6","78","0",-0.087,0.039,-0.05,-0.039
"442","6","79","0",-0.176,0.02,-0.115,-0.129
"443","6","80","0",0.106,0.156,0.326,0.199
"444","6","81","0",0.039,0.055,-0.011,0.045
"445","6","82","0",0.11,0.088,0.093,0.093
"446","6","83","0",0.358,0.144,0.27,0.226
"447","6","84","0",-0.13,0.037,-0.07,-0.056
"448","6","85","0",0.003,0.038,-0.064,0.013
"449","6","86","0",-0.172,0.081,0.071,-0.075
"450","6","2D","0",0.067,0.083,0.082,0.098
"451","6","N1","0",0.002,0.046,-0.051,-0.053
"452","6","N2","0",0.003,0.03,-0.088,-0.036
"453","6","N6","0",-0.068,0.055,-0.009,-0.001
"454","6","N3","0",0.003,0.051,-0.021,-0.01
"455","6","N5","0",0.003,0.05,-0.025,0.034
"456","6","N8","0",-0.078,0.031,-0.113,-0.073
"457","7","9","0",-0.106,0.025,-0.014,-0.139
"458","7","12","0",0.228,0.161,0.041,0.148
"459","7","13","0",0.025,0.035,-0.01,-0.073
"460","7","14","0",-0.164,0.006,-0.027,-0.206
"461","7","15","0",-0.054,0.021,-0.015,-0.104
"462","7","16","0",-0.027,0.031,-0.011,-0.025
"463","7","17","0",-0.001,0.033,-0.011,-0.034
"464","7","20","0",0.024,0.023,-0.013,-0.091
"465","7","21","0",-0.054,0.017,-0.017,-0.088
"466","7","22","0",-0.054,0.014,-0.018,-0.106
"467","7","23","0",0.131,0.046,-0.006,0.012
"468","7","24","0",0.067,0.052,-0.01,0.031
"469","7","26","0",0.009,0.036,-0.015,-0.092
"470","7","27","0",0.052,0.057,-0.001,0.002
"471","7","28","0",0.104,0.04,-0.008,-0.001
"472","7","29","0",-0.039,0.01,-0.021,-0.119
"473","7","30","0",-0.159,0.002,-0.023,-0.177
"474","7","32","0",-0.105,0.01,-0.017,-0.155
"475","7","37","0",0.038,0.029,-0.012,-0.042
"476","7","39","0",-0.071,-0.002,-0.016,-0.141
"477","7","40","0",0.083,0.05,-0.004,-0.04
"478","7","43","0",-0.264,-0.002,-0.03,-0.258
"479","7","45","0",-0.001,0.185,0.048,-0.04
"480","7","46","0",-0.001,0.021,-0.015,-0.074
"481","7","47","0",-0.106,0.029,-0.012,-0.167
"482","7","48","0",0.075,0.07,0.001,0.003
"483","7","49","0",-0.001,0.027,-0.013,-0.087
"484","7","51","0",0.078,0.128,0.026,-0.006
"485","7","52","0",0.125,0.047,-0.003,0.032
"486","7","53","0",-0.054,0.012,-0.019,-0.13
"487","7","54","0",0.078,0.037,-0.009,-0.043
"488","7","55","0",-0.098,0.016,-0.022,-0.141
"489","7","56","0",0.078,0.042,-0.007,0.016
"490","7","58","0",0.104,0.04,-0.008,-0.001
"491","7","59","0",0.033,0.035,-0.008,-0.003
"492","7","60","0",-0.238,-0.01,-0.027,-0.258
"493","7","66","0",0.115,0.041,-0.005,0.003
"494","7","67","0",-0.08,0.012,-0.019,-0.145
"495","7","68","0",0.068,0.041,-0.011,-0.006
"496","7","69","0",-0.096,0.015,-0.027,-0.152
"497","7","70","0",0.04,0.106,0.017,0.041
"498","7","71","0",-0.027,0.029,-0.012,-0.049
"499","7","72","0",0.032,0.019,-0.012,-0.06
"500","7","73","0",0.19,0.074,0.004,0.055
"501","7","74","0",0.087,0.043,-0.006,0.007
"502","7","75","0",0.013,0.012,-0.012,-0.079
"503","7","76","0",0.131,0.097,0.014,0.097
"504","7","77","0",0.126,0.088,0.011,0.05
"505","7","78","0",-0.186,-0.012,-0.023,-0.247
"506","7","79","0",-0.16,-0.003,-0.022,-0.211
"507","7","80","0",-0.066,0.037,-0.008,-0.118
"508","7","81","0",-0.08,0.009,-0.02,-0.111
"509","7","82","0",0.052,0.032,-0.011,-0.029
"510","7","83","0",-0.133,0.006,-0.021,-0.183
"511","7","84","0",0.083,0.049,-0.004,-0.04
"512","7","85","0",-0.027,0.029,-0.012,-0.049
"513","7","86","0",-0.038,0.006,-0.017,-0.126
"514","7","2D","0",0.053,0.05,-0.004,-0.025
