population	pop	plant	seed	flower	measdate	Shootthickness	Stemthickness	GAD	ASD	Adepth	Awidth	GSDR	GSDC	GSDL	nMalesR	nMalesC	nMalesL	GWTot	GHR	GHL	GNR	GNL	SWR	SWC	SWL	SLR	Srrs	SLC	Scrs	SLL	Slrs	UBR	UBC	UBL	UBW	LBR	LBC	LBL	LBW																																																																																																																																																																																																																							
LM	La_Mancha	15	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
LM	La_Mancha	15	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
LM	La_Mancha	15	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
LM	La_Mancha	18	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
LM	La_Mancha	18	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
LM	La_Mancha	18	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
LM	La_Mancha	18	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
LM	La_Mancha	19	4	1	17.02.2009	NA	NA	5.25	0	1.31	2.22	6.68	6.55	6.64	3	3	3	7.01	2.86	3.26	9	13	1.49	1.5	1.46	10.13	4.85	10.32	4.54	9.69	4.84	24.27	28.97	22.43	31.07	25.75	31.22	27.18	30.81																																																																																																																																																																																																																							
LM	La_Mancha	19	4	2	17.02.2009	NA	NA	4.94	0.54	1.19	2.25	7.2	6.86	7.67	3	3	3	7.92	2.72	3.99	9	14	1.57	1.76	1.59	10.25	5.57	11.15	5.97	11.09	5.34	25.43	28.96	24.7	29.9	25.9	33.46	26.12	33.53																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	1	1	1	19.09.2008	NA	NA	4.09	2.95	NA	NA	6.37	6.6	5.62	3	3	3	8.11	3.68	4.06	11	15	1.7	1.8	1.76	9.24	NA	9	NA	8.32	NA	24.73	25.58	24.41	27.43	25.29	28.5	24.41	28.75																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	1	1	2	24.11.2008	NA	NA	5.11	1.51	1.35	2.8	5.94	4.12	5.44	3	3	3	7.38	2.37	2.68	9	11	1.59	1.54	1.54	8.57	2.43	8.45	2.71	8.8	2.62	25.31	26.63	23.5	25.3	24.01	28.7	24.14	24.81																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	1	2	2	02.03.2009	NA	NA	5.16	2.75	1.17	2.87	5.46	5.81	5.88	3	3	3	7.16	3.03	3.35	12	13	1.55	1.51	1.53	8.01	2.94	7.94	2.88	7.76	2.93	21.37	22.55	21.91	22.94	21.78	23.88	20.91	22.27																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	1	2	1	17.02.2009	NA	NA	5.97	3.39	1.22	2.76	4.94	5.9	4.87	3	3	3	7.52	3.21	3.53	14	15	1.71	1.63	1.4	7.58	2.01	7.99	2.1	7.83	2.01	19.63	22.02	19.88	22.78	19.87	23.91	19.29	22.26																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	1	3	1	25.06.2009	0.91	NA	3.87	4.77	NA	NA	3.9	4.07	3.9	3	3	3	5.65	2	1.39	8	4	1.31	1.28	1.08	4.56	1.79	3.92	2.14	4.12	2.39	19.55	22.46	18.23	20.44	20.43	22.65	18.98	21.99																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	1	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	2	5	1	24.11.2008	NA	NA	2.67	4.09	1.2	2.22	4.23	4.18	4.55	3	3	3	7.63	3.8	4.01	17	19	1.16	1.23	1.16	6.21	2.91	5.74	2.9	6.09	2.42	17.95	20.06	18	23.68	19.46	23.15	20.77	25.04																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	2	5	2	16.12.2008	NA	NA	4.26	5.33	0.72	2.34	4.09	5.04	5.74	3	3	3	8.2	3.98	3.47	15	12	1.37	1.36	1.35	6.4	2.41	6.27	2.63	6.63	1.95	18.09	20.59	18.77	25.92	21.83	24.76	21.42	28.95																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	2	6	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	2	6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	3	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	3	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	3	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	4	2	2	09.12.2008	NA	NA	5.56	2.42	1.11	2.14	5.85	6.51	5.74	3	3	2	7.99	3.06	3.2	12	15	1.12	1.51	1.49	8.51	2.09	8.31	2.97	8.49	3.03	19.51	21.89	20.21	24.88	18.89	23.49	20.81	22.31																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	4	2	1	09.12.2008	NA	NA	4.46	2.03	1.11	2.47	5.41	6.1	4.87	3	3	3	7.66	3.37	3.1	12	12	1.37	1.61	1.59	8.01	2.64	8.5	2.51	7.99	2.45	19.95	21.58	19.99	23.45	19.33	23.34	20.24	21.84																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	4	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	4	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	4	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	4	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	5	1	1	13.10.2008	NA	NA	4.92	2	1.26	2.21	3.81	5.56	4.52	3	3	3	8.36	3.68	3.35	15	20	1.8	2.01	2.12	8.4	NA	8.36	NA	8.92	NA	21.5	22.92	22.17	24.31	23.12	26.14	23.38	25.17																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	5	1	2	24.10.2008	NA	NA	5.68	4	1	2.19	6.17	7.23	6.54	3	3	3	7.93	4.04	3.75	17	20	1.82	1.72	1.8	8.49	2.22	8.31	2.4	8.6	2.78	21.54	22.7	21.31	24.31	21.83	25.67	21.85	22.9																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	5	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	5	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	5	3	1	19.09.2008	NA	NA	4.87	3.57	NA	NA	5.93	6.53	6.6	3	3	3	6.78	3.09	3.23	12	10	1.68	1.94	1.87	8.42	NA	8.7	NA	8.72	NA	21.22	23.8	21.66	22.09	24.98	28.4	24.11	23.9																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	5	3	2	13.10.2008	NA	NA	5.13	1.55	1.5	2.19	4.08	5.88	5.41	3	3	3	8.28	4.14	3.79	16	17	2.06	2.1	2.07	9.71	NA	9.36	NA	9.54	NA	23.02	25.59	23.99	26.8	24.75	29.41	25.79	27.83																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	6	1	2	17.06.2009	NA	NA	4.81	3.1	1.21	2.68	6.72	6.56	5.9	3	3	3	8.19	3.69	3.81	13	15	1.41	1.55	1.54	7.79	3.59	7.63	3.43	8.09	3.68	23.43	25.32	23.53	26.36	22.37	25.89	22.42	24.65																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	6	1	1	09.12.2008	NA	NA	5.14	2.05	0.97	2.11	7.5	6.7	6.24	3	3	2	8.54	3.41	3.02	10	13	1.5	1.67	1.53	8.37	2.07	8.61	2.35	9.04	2.42	24.05	25.9	23.58	23.75	22.12	25.5	22.05	23.43																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	6	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	6	2	1	09.12.2008	NA	NA	4.7	1.76	0.9	2.2	6.05	7.61	6.51	3	3	3	7.04	2.95	3.36	9	13	1.35	1.38	1.37	8.76	2.29	9.1	2.75	9.09	2.61	26.18	27.16	23.78	25.07	24.97	30.41	25.28	26.65																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	6	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	6	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	10	1	2	28.11.2008	NA	NA	4.97	3.99	1.05	2.3	5.65	5.98	5.66	3	3	3	8.3	3.88	3.97	15	16	1.76	2.03	1.78	8.62	3.28	9.25	3.57	9.53	3.71	24.53	26.09	24.67	26.15	23.17	27.76	24.3	24.1																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	10	1	1	25.11.2008	NA	NA	5.33	1.82	1.18	2.21	4.04	5.84	4.89	3	3	3	8.19	3.95	3.35	16	17	2.05	2.03	2.04	8.83	2.72	8.12	2.91	8.63	3.07	22.09	22.47	22.46	23.52	22.01	25.34	22.15	24.11																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	10	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
M	Martinez_de_la_Torre	10	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
MO	Motul_de_Carillo_Puerto	8	6	1	22.10.2008	NA	NA	3.85	0	1.39	2.02	4.39	4.14	2.94	3	3	3	5.22	1.77	2	8	10	1.33	1.32	1.46	7.37	2.62	7.92	2.51	7.68	3.09	16.54	18.96	15.94	20.05	18.37	20.78	17.95	21.41																																																																																																																																																																																																																							
MO	Motul_de_Carillo_Puerto	8	6	2	07.01.2009	NA	NA	3.22	0	1.07	2.27	3.82	4.51	5.11	3	3	3	3.58	0.76	0.78	4	4	0.93	1.1	0.91	6.04	1.99	6.71	1.93	6.47	2.53	13.13	15.14	15.44	15.23	14.14	17.39	15.81	18.76																																																																																																																																																																																																																							
MO	Motul_de_Carillo_Puerto	10	3	1	17.06.2009	NA	NA	3.56	0.43	1.73	2.39	3.39	4.07	3.41	3	3	3	5.32	2.34	2.48	8	11	1.41	1.51	1.59	7.7	2.48	7.73	2.87	7.56	3.14	17.79	21.76	18.65	22.78	19.59	22.82	20.26	24.39																																																																																																																																																																																																																							
MO	Motul_de_Carillo_Puerto	10	3	2	25.06.2009	NA	NA	3.09	0	1.2	2.06	3.58	4.02	3.62	3	3	3	5.27	2.18	2	10	10	1.08	1.24	1.33	7.04	2.43	7.36	2.74	7.23	2.98	15.03	17.41	15.5	18.57	15.91	18.85	15.77	20.4																																																																																																																																																																																																																							
MO	Motul_de_Carillo_Puerto	20	1	1	23.03.2009	NA	NA	3.63	0	0.79	1.92	3.59	4.44	3.84	3	1	3	4.88	2.07	2.06	10	9	1.23	1.35	1.33	7.41	2.41	7.73	2.55	7.87	2.59	17.57	20.9	16.76	21.56	18.24	22.66	19.27	23.52																																																																																																																																																																																																																							
MO	Motul_de_Carillo_Puerto	20	1	2	23.03.2009	NA	NA	3.6	0	0.91	1.51	3.89	5.45	4.4	3	3	3	5.01	2.25	1.7	14	10	1.35	1.52	1.43	7.77	2.46	8	2.36	7.91	2.35	15.07	18.44	15.49	18.96	15.71	19.59	15.86	19.3																																																																																																																																																																																																																							
P	Peto	2	1	1	19.09.2008	NA	NA	3.15	1.83	NA	NA	3.26	5.04	4.68	0	2	0	4.39	1.77	1.63	4	5	0.99	1.11	1.08	7.24	NA	7.32	NA	7.21	NA	15.8	17.74	16.84	21.2	14.48	16.93	15.12	19.05																																																																																																																																																																																																																							
P	Peto	2	1	2	24.10.2008	NA	NA	3.42	0	1.19	2.23	3.32	4.54	3.52	2	1	1	5.01	1.57	2.28	9	5	0.95	1.04	1	7.25	3.33	7.11	2.76	7.29	2.81	16.01	18.09	16.54	21.02	17.01	19.45	16.74	22.09																																																																																																																																																																																																																							
P	Peto	2	2	1	27.10.2008	NA	NA	3.39	0	1.04	1.88	3.03	4.36	4.26	2	1	2	5.1	1.77	1.95	7	8	0.74	1	0.91	7.04	2.8	7.11	2.7	7.08	2.84	14.77	16.25	14.61	17.66	16.57	18.43	16.35	20.46																																																																																																																																																																																																																							
P	Peto	2	2	2	27.10.2008	NA	NA	3.3	0	1.06	2.21	3.85	4	3.83	3	1	1	5.52	1.97	1.93	9	7	0.93	0.87	0.84	6.72	2.6	7.12	2.5	6.98	2.97	16.19	18.06	15.2	19.32	17.16	20.53	16.06	20.53																																																																																																																																																																																																																							
P	Peto	5	2	1	11.09.2008	NA	NA	3.16	0	NA	NA	3.4	3.38	1.81	2	3	2	6.18	1.93	1.96	8	9	1.1	1.25	1.08	6.78	NA	6.98	NA	6.78	NA	16.41	17.84	14.88	18.24	17.25	18.17	14.94	18.28																																																																																																																																																																																																																							
P	Peto	5	2	2	20.10.2008	NA	NA	3.15	0	1.05	2.02	3.57	2.64	3.65	3	2	3	4.94	1.92	1.8	7	7	1.05	1.15	1.19	6.58	2.13	6.46	2.88	6.01	2.53	14.83	16.18	14.15	17.05	17	18.24	16.25	17.08																																																																																																																																																																																																																							
P	Peto	5	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
P	Peto	5	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
P	Peto	10	4	1	13.10.2008	NA	NA	2.76	0	1.23	2.03	3.52	3.97	3.01	3	3	3	5.85	2.86	2.47	10	11	1.23	1.17	1.21	7.61	NA	7.67	NA	7.93	NA	18.15	21.62	17.8	21.55	16.57	18.45	16.23	19.42																																																																																																																																																																																																																							
P	Peto	10	4	2	28.11.2008	NA	NA	3.36	0	0.98	2.02	3.72	4.62	3.19	3	3	1	5.99	2.18	2.65	10	8	0.92	1.08	1.11	7.41	2.94	7.19	3.1	7.26	3.22	14.42	16.61	14.84	17.57	16.66	18.6	16.68	18.72																																																																																																																																																																																																																							
P	Peto	10	6	1	17.12.2008	NA	NA	2.57	0	0.68	1.81	3.64	3.96	2.49	2	3	2	5.56	2.39	2.18	9	8	1	1.07	0.98	7.47	2.96	6.99	2.68	7.39	2.96	13.9	15.1	14.16	16.94	14.5	16.91	14.2	18.67																																																																																																																																																																																																																							
P	Peto	10	6	2	20.10.2009	NA	NA	3.34	0	1.13	2.06	4.55	4.15	3.32	3	3	3	6.37	2.33	2.26	11	12	1.08	0.98	1	7.41	2.9	7.39	3.37	7.84	3.08	17.38	18.85	15.52	19.91	17.99	20.69	16.91	21.15																																																																																																																																																																																																																							
P	Peto	11	3	2	13.10.2008	NA	NA	2.79	0.93	1.11	1.79	2.8	3.07	1.7	3	2	2	5.58	1.98	2.25	10	8	1.02	0.93	0.95	6.36	NA	6.11	NA	5.81	NA	13.81	15.52	14.17	18.63	15.04	17.79	15.33	20.23																																																																																																																																																																																																																							
P	Peto	11	3	1	19.09.2008	NA	NA	2.67	0.66	NA	NA	2.65	2.15	2.21	3	3	3	6.01	2.04	2.33	12	10	1.05	0.97	1.07	6.36	NA	6.14	NA	6.09	NA	13.64	16.51	13.23	16.7	15.93	19.96	16.68	19.05																																																																																																																																																																																																																							
P	Peto	11	4	2	06.05.2009	NA	NA	3.28	0	0.7	2.04	3.32	4.44	4.17	3	3	3	5.7	2.03	2.15	10	10	1.15	1.14	1.14	7.34	2.83	7.56	2.37	7.1	2.45	17.53	20.82	17.22	24.01	19.48	22.44	17.48	23.68																																																																																																																																																																																																																							
P	Peto	11	4	1	14.01.2009	NA	NA	3.47	0.56	0.81	1.69	2.82	3.79	3.16	3	3	3	4.9	1.93	2.04	9	10	0.92	1.19	1	6.49	2.17	6.73	2.21	6.47	1.94	14.86	17.19	15.25	19.61	16.69	19.38	16.74	20.67																																																																																																																																																																																																																							
PM	Puerto_Morelos_	1	1	2	13.10.2008	NA	NA	4.05	0	2.17	2.6	5.49	4.97	6	3	3	3	7.26	3.07	3.72	14	19	1.78	2.2	1.7	9.26	NA	8.57	NA	7.85	NA	18.77	21.06	20.2	23.44	20.69	23.46	20.34	23.69																																																																																																																																																																																																																							
PM	Puerto_Morelos_	1	1	1	11.09.2008	NA	NA	6.69	1.38	NA	NA	6.07	6.07	5.39	3	3	3	7.89	3.01	4.03	16	19	1.67	1.89	1.73	7.93	NA	8.49	NA	7.78	NA	21.22	22.83	21.54	24.8	21.05	23.91	20.34	24.53																																																																																																																																																																																																																							
PM	Puerto_Morelos_	1	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
PM	Puerto_Morelos_	1	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
PM	Puerto_Morelos_	3	1	2	14.01.2009	NA	NA	4.41	3.48	0.96	2.31	4.73	6.06	4.62	3	3	3	6.78	2.96	3.28	15	21	1.09	1.28	1.14	6.14	2.07	7.25	2.32	6.46	1.96	15.59	16.61	16.51	20.09	16.86	19.79	17.26	18.64																																																																																																																																																																																																																							
PM	Puerto_Morelos_	3	1	1	19.09.2008	NA	NA	4.61	2.55	NA	NA	3.6	4.73	3.41	3	3	3	6.62	3.09	2.33	17	14	1.19	1.34	1.21	4.98	NA	5.92	NA	4.66	NA	14.77	16.58	15.46	18.63	16.22	18.83	15.95	19.07																																																																																																																																																																																																																							
PM	Puerto_Morelos_	4	3	2	10.12.2008	NA	NA	6.18	2.47	0.71	1.78	6.24	6.57	5.76	3	3	3	7.43	3.26	3.29	13	13	1.8	2.07	1.8	7.83	3	8.33	3.03	7.75	3.2	18.22	20.03	18.58	22.97	19.33	22.39	19.25	22.31																																																																																																																																																																																																																							
PM	Puerto_Morelos_	4	3	1	10.12.2008	NA	NA	5.8	2.06	0.74	2.16	5.99	6.89	6.17	3	3	3	7.06	3.36	2.94	12	11	1.72	1.85	1.83	8.16	3.51	8.24	3.19	8.23	3.39	19.65	21.68	19.02	24.59	19.07	22.67	19.47	23.89																																																																																																																																																																																																																							
PM	Puerto_Morelos_	5	1	2	28.10.2008	NA	NA	6.16	2.77	0.89	2.32	5.27	6.63	5.15	3	3	3	7.86	3.68	3.56	20	18	1.78	1.96	1.75	7.4	1.98	7.93	1.77	7.56	2.17	24.09	26.74	25.67	27.26	24.31	31.52	25.84	27.43																																																																																																																																																																																																																							
PM	Puerto_Morelos_	5	1	1	27.10.2008	NA	NA	5.08	2.45	0.91	2.46	4.34	5.84	5.18	3	3	3	8.6	3.57	3.56	23	18	1.73	2.05	1.78	7.19	2.42	7.98	2.42	7.08	2.39	24.08	26.89	23.4	26.1	24.19	29.18	23.45	25.22																																																																																																																																																																																																																							
PM	Puerto_Morelos_	5	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
PM	Puerto_Morelos_	5	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
PM	Puerto_Morelos_	6	2	2	25.11.2008	NA	NA	5.74	1.9	0.87	2.4	4.7	5.5	4.39	3	3	3	6.77	3.47	3.42	14	15	1.97	2.17	1.89	7.79	2.56	8.24	2.66	7.45	2.35	20.33	21.97	19.77	24.36	21.01	24.64	20.59	23.51																																																																																																																																																																																																																							
PM	Puerto_Morelos_	6	2	1	30.10.2008	NA	NA	6.02	2.13	0.98	2.56	4.48	5.51	5.44	3	3	3	7.07	3.39	3.66	13	13	2.06	2.36	2.37	8.26	3.21	8.64	3.28	8.7	2.71	21.48	24.05	23.2	27.69	22.44	28.35	22.52	25.39																																																																																																																																																																																																																							
PM	Puerto_Morelos_	9	1	2	14.01.2009	NA	NA	5.37	3.3	1.08	2.59	7.26	8.22	6.91	3	3	3	6.88	3.32	3.21	12	13	1.94	2.2	1.83	9.06	2.21	9.6	2.51	9.24	2.91	19.85	22.77	21.42	25.32	22.94	25.44	22.41	24.69																																																																																																																																																																																																																							
PM	Puerto_Morelos_	9	1	1	15.09.2008	NA	NA	5.02	2.56	NA	NA	6.23	7.03	5.03	3	3	3	7.25	3.81	3.15	20	15	1.81	2.26	1.84	8.05	NA	9.15	NA	8.23	NA	18.7	19.66	17.87	24.24	20.35	22.39	20.16	22.73																																																																																																																																																																																																																							
PM	Puerto_Morelos_	10	2	1	22.10.2008	NA	NA	5.19	1.69	1.03	2.36	5.37	5.83	6.06	3	3	3	6.86	3.12	3.1	17	14	1.48	1.79	1.51	7.83	2.92	8.29	2.9	7.92	3.28	23.43	25.57	23.09	27.14	24.71	28.76	24.26	26.04																																																																																																																																																																																																																							
PM	Puerto_Morelos_	10	2	2	28.11.2008	NA	NA	5.28	2.31	0.79	2.56	4.81	5.41	4.95	3	3	3	6.32	3.38	3.16	16	16	1.21	1.74	1.23	7.07	3.2	7.56	2.76	6.74	2.83	18.98	21.96	19.98	23.18	21.11	25.05	20.96	22.93																																																																																																																																																																																																																							
PM	Puerto_Morelos_	10	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
PM	Puerto_Morelos_	10	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
PM	Puerto_Morelos_	10	6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
PM	Puerto_Morelos_	10	6	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
PM	Puerto_Morelos_	11	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
