population	pop	plant	seed	flower	measdate	Shootthickness	Stemthickness	GAD	ASD	Adepth	Awidth	GSDR	GSDC	GSDL	nMalesR	nMalesC	nMalesL	GWTot	GHR	GHL	GNR	GNL	SWR	SWC	SWL	SLR	Srrs	SLC	Scrs	SLL	Slrs	UBR	UBC	UBL	UBW	LBR	LBC	LBL	LBW																																																																																																																																																																																																																							
C	Comalcalco	7	2	2	27.10.2008	NA	NA	5.2	5.43	1.22	2.61	5.87	7	5.77	3	3	3	6.8	3.07	2.79	11	10	1.21	1.44	1.36	10.17	4.41	9.64	4.3	10.29	4.28	21.16	24.92	22.35	23.07	22.3	25.44	21.55	24.09																																																																																																																																																																																																																							
C	Comalcalco	7	2	1	27.10.2008	NA	NA	5.88	1.27	1.51	2.31	6.39	6.51	7.08	3	3	3	7.34	3.04	2.87	10	11	1.54	1.81	1.53	10.7	4.7	10.37	5.31	11.25	4.32	23.83	26.57	23.96	24.86	23.72	27.2	23.5	26.47																																																																																																																																																																																																																							
C	Comalcalco	7	3	1	10.12.2008	NA	NA	4.41	4.4	1.14	2.72	6.9	6.6	6.54	3	3	3	6.61	3.37	3.29	12	13	1.45	1.33	1.56	9.78	3.61	8.94	3.37	9.16	3.64	22.37	24.84	22.81	23.36	21.38	24.86	21.97	23.88																																																																																																																																																																																																																							
C	Comalcalco	7	3	2	25.11.2008	NA	NA	5.68	1.99	1.16	2.76	6.83	6.72	7.38	3	3	3	7.24	3.27	3.43	10	11	1.78	1.9	1.59	11.39	5.02	10.69	4.19	11.06	4.52	24.87	28.25	25.83	25.65	24.8	29.37	25.25	26.61																																																																																																																																																																																																																							
C	Comalcalco	7	4	2	28.10.2008	NA	NA	6.3	2.67	1.16	2.39	6.85	7.26	6.65	3	3	3	6.65	3.27	2.98	11	9	1.31	1.79	1.66	10.7	4.64	10.21	4.63	10.85	4.48	20.16	22.76	20.86	22.93	21.59	24.98	21.65	24.15																																																																																																																																																																																																																							
C	Comalcalco	7	4	1	27.10.2008	NA	NA	6.2	3.48	1.16	2.32	4.37	6.3	5.86	2	3	3	6.45	2.75	2.46	12	9	1.04	1.61	1.08	7.22	3.44	7.83	3.4	7.86	3.14	23.02	25.15	22.78	23.55	23.32	25.98	22.4	24.36																																																																																																																																																																																																																							
C	Comalcalco	7	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
C	Comalcalco	7	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
C	Comalcalco	9	1	1	25.11.2008	NA	NA	5.28	2.33	1.03	2.32	6.19	6.08	6.6	3	2	3	7.06	3.01	3.15	10	10	1.25	1.1	1.17	9.27	3.84	9.02	3.64	9.06	3.77	19.01	21.28	19.43	22.11	21.35	23.88	21.36	25.12																																																																																																																																																																																																																							
C	Comalcalco	9	1	2	16.12.2008	NA	NA	4.87	3.55	0.88	2.47	6.66	7.46	6.19	3	3	3	6.57	3.34	3.34	11	9	1.34	1.39	1.46	9.09	2.82	9.22	2.66	9.3	3.24	21.74	24.11	21.7	23.3	21.34	23.76	21.56	21.98																																																																																																																																																																																																																							
