Pop	Patch	Blossom	Seed	ID	GHblossom	Date	ASD	GAD	MF	GSDl	GSDc	GSDr	GW	GHl	GHr	SWl	SWc	SWr	SLl	SLc	SLr	UBL	UBW	LBL	LBW
S2	9	2	e	S2.9-2.e	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	9	2	e	S2.9-2.e	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	11	4	g	S2.11-4.g	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	11	4	g	S2.11-4.g	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	11	5	d	S2.11-5.d	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	11	5	d	S2.11-5.d	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	12	1	a	S2.12-1.a	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	12	1	a	S2.12-1.a	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	12	7	d	S2.12-7.d	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	12	7	d	S2.12-7.d	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	12b	1	c	S2.12b.1.c	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	12b	1	c	S2.12b.1.c	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	12b	2	f	S2.12b.2.f	1	11.01.2016	5.06	5.09	10	4.13	5.14	3.99	7.25	4.48	3.79	1.02	1.28	1.11	5.01	5.42	5.05	21.95	18.65	22.30	19.43
S2	12b	2	f	S2.12b.2.f	2	12.01.2016	3.29	7.37	10	5.89	7.14	5.92	7.91	4.23	3.93	1.20	1.25	1.35	7.72	8.69	7.60	27.77	22.62	28.01	23.99
S2	13	3	b	S2.13-3.b	1	29.06.2015	2.55	NA	11	4.73	5.43	4.35	7.74	4.33	4.68	1.36	1.27	1.24	6.48	6.57	6.46	24.10	23.80	22.35	22.82
S2	13	3	b	S2.13-3.b	2	11.01.2016	3.31	5.47	10	4.47	5.62	5.35	6.39	3.56	3.47	1.29	1.41	1.38	6.39	6.82	5.88	23.88	21.78	26.52	22.64
S2	13	3	b	S2.13-3.b	3	18.01.2016	4.00	6.21	10	6.09	6.64	5.46	8.33	4.97	4.34	1.32	1.50	1.56	7.67	7.43	6.85	25.20	25.25	26.16	24.59
S2	13	4	b	S2.13-4.b	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	13	4	b	S2.13-4.b	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	14	1	f	S2.14.1.f	1	23.01.2016	3.28	6.67	10	5.92	6.44	5.47	8.89	4.38	4.66	1.32	1.48	1.37	7.49	7.16	7.31	21.80	17.69	22.36	17.81
S2	14	1	f	S2.14.1.f	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	15	1	b	S2.15.1.b	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	15	1	b	S2.15.1.b	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	15	1	c	S2.15.1.c	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	15	1	c	S2.15.1.c	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
