country,pop,sire,dam,flowering.start.jd,petal.width.mm,petal.length.mm,fruits,flowers,rosette.size.cm2,inflorescences,leaf.damage.percent
norway,SPIT,SPIT10,SPIT102,146,3.3,3,3,7,3.511672268,1,0
sweden,STUS,STUS15,STUS151,146,3.4,3.8,5,19,3.816249676,1,0
sweden,STUS,STUS51,STUS514,146,2.85,2.1,7,15,3.99822643,1,0
sweden,STUC,STUC1,STUC12,140,2.45,1.6333333333,6,10,2.132827253,2,0
sweden,STUC,STUC49,STUC493,140,3.2,2.8,16,33,1.775785247,4,5
norway,SPIT,SPIT23,SPIT233,140,2.35,1.6,8,18,2.0459308,2,0
sweden,STUC,STUC30,STUC304,144,2.25,1.9,2,5,1.637508047,1,0
sweden,STUS,STUS24,STUS241,140,3.75,2.3333333333,4,10,2.342057323,1,0
sweden,STUC,STUC26,STUC265,144,2.8,3,4,8,0.7853981634,1,0
norway,SPIT,SPIT39,SPIT391,137,2.2666666667,3.3333333333,19,37,3.344853698,3,0
norway,SPIT,SPIT30,SPIT305,137,2.6,2.4,10,19,16.12661976,2,0
sweden,STUS,STUS23,STUS234,140,2.7333333333,3.2,12,25,4.420692102,1,0
sweden,STUC,STUC26,STUC265,137,2.2,2.3333333333,13,33,0.9997804461,7,0
sweden,STUS,STUS59,STUS593,144,2.8,1.9333333333,4,9,1.51361934,1,0
norway,SPIT,SPIT57,SPIT572,137,2.4666666667,2.3333333333,11,22,2.387688957,2,0
sweden,STUS,STUS38,STUS384,140,2.8333333333,3.8333333333,14,35,4.070875761,6,0
sweden,STUC,STUC30,STUC304,151,2.9,3.1666666667,4,10,1.479313149,2,0
sweden,STUC,STUC36,STUC365,144,2.5,2.6,2,2,0.7037952942,1,0
norway,VIS,VIS7,VIS73,137,2.4,1.7333333333,5,13,1.919120412,1,0
sweden,STUS,STUS7,STUS75,146,2.8333333333,2.7666666667,4,9,3.177045527,1,0
sweden,STUS,STUS62,STUS622,146,2.5666666667,3.2333333333,4,6,0.5372359057,1,10
sweden,STUC,STUC25,STUC254,144,2.8666666667,3.3,6,14,2.11232836,4,0
norway,VIS,VIS25,VIS251,137,2.7,3.8,52,106,14.88509376,9,0
sweden,STUS,STUS42,STUS422,134,3.1666666667,3.8333333333,2,5,2.937467671,1,0
sweden,STUS,STUS6,STUS64,137,3.2,3.1,6,12,2.605951106,1,0
sweden,STUC,STUC26,STUC262,140,3.3,3.4666666667,9,19,0.7882884286,3,0
sweden,STUS,STUS36,STUS362,144,2.5333333333,3.3333333333,2,7,1.277371573,1,0
sweden,STUC,STUC33,STUC334,159,2.6,2.6,0,3,1.158116716,1,0
sweden,STUS,STUS18,STUS183,140,3.5,1.9666666667,0,11,1.52681403,1,0
sweden,STUC,STUC58,STUC581,148,3.15,2.2,3,6,1.038610531,1,0
