Latitude	Longitude	Region	Population	Id	Family	Stage_of_anther_stigma_contact
34.5615	119.5615	2	61	19.3	19	3
34.5615	119.5615	2	61	19.5	19	4
34.5615	119.5615	2	61	22.1	22	3.5
34.5615	119.5615	2	61	22.3	22	3
34.5615	119.5615	2	61	23.2	23	3
34.5615	119.5615	2	61	23.5	23	3
34.5615	119.5615	2	61	24.3	24	2.5
34.5615	119.5615	2	61	24.4	24	3
34.5615	119.5615	2	61	26.2	26	3.5
34.5615	119.5615	2	61	26.3	26	3.5
34.5615	119.5615	2	61	27.1	27	2
34.5615	119.5615	2	61	27.4	27	3
34.5615	119.5615	2	61	29.2	29	3
34.5615	119.5615	2	61	29.3	29	3.5
34.5615	119.5615	2	61	30.1	30	2.5
34.5615	119.5615	2	61	30.2	30	2.5
34.5615	119.5615	2	61	31.3	31	3.5
34.5615	119.5615	2	61	31.5	31	2.5
34.5615	119.5615	2	61	32.3	32	3
34.5615	119.5615	2	61	32.4	32	3.5
34.5615	119.5615	2	61	34.4	34	3.5
34.5615	119.5615	2	61	34.5	34	2
38.5845	122.3733	4	142	3.2	3	3
38.5845	122.3733	4	142	3.3	3	3.5
38.5845	122.3733	4	142	4.1	4	3
38.5845	122.3733	4	142	4.2	4	3
38.5845	122.3733	4	142	5.1	5	3
38.5845	122.3733	4	142	5.4	5	3
38.5845	122.3733	4	142	10.1	10	3
38.5845	122.3733	4	142	10.3	10	3.5
38.5845	122.3733	4	142	12.2	12	3.5
38.5845	122.3733	4	142	12.4	12	4
38.5845	122.3733	4	142	15.1	15	3
38.5845	122.3733	4	142	15.5	15	4
38.5845	122.3733	4	142	16.3	16	4
38.5845	122.3733	4	142	16.4	16	4
38.5845	122.3733	4	142	18.1	18	4
38.5845	122.3733	4	142	18.4	18	3
38.5845	122.3733	4	142	19.1	19	3.5
38.5845	122.3733	4	142	19.2	19	2.5
38.6441	122.3735	4	151	3.2	3	3
38.6441	122.3735	4	151	3.3	3	4
38.6441	122.3735	4	151	4.1	4	3
38.6441	122.3735	4	151	4.5	4	3.5
38.6441	122.3735	4	151	5.3	5	3
38.6441	122.3735	4	151	5.5	5	4
38.6441	122.3735	4	151	8.2	8	3
38.6441	122.3735	4	151	8.3	8	4
38.6441	122.3735	4	151	9.1	9	3
38.6441	122.3735	4	151	9.2	9	4
38.6441	122.3735	4	151	10.2	10	3
38.6441	122.3735	4	151	10.3	10	2
38.6441	122.3735	4	151	11.3	11	3
38.6441	122.3735	4	151	11.5	11	2.5
38.6441	122.3735	4	151	12.3	12	2.5
38.6441	122.3735	4	151	12.4	12	3
38.6441	122.3735	4	151	13.1	13	3
38.6441	122.3735	4	151	13.2	13	3
38.6441	122.3735	4	151	14.3	14	3
38.6441	122.3735	4	151	14.4	14	3
38.6441	122.3735	4	151	17.1	17	3
38.6441	122.3735	4	151	17.2	17	3
38.6441	122.3735	4	151	18.1	18	3
38.6441	122.3735	4	151	18.2	18	3
38.6441	122.3735	4	151	19.1	19	4
38.6441	122.3735	4	151	19.2	19	4
38.6441	122.3735	4	151	20.4	20	2.5
38.6441	122.3735	4	151	20.5	20	3
