animal,dam,sire
51219,15.10.007,33.10.083
51221,51.10.044,51.10.044
51222,12.10.167,38.10.185
51223,63.10.161,63.10.161
51224,82.10.133,82.10.133
51225,7.10.061,7.10.061
51226,28.10.183,39.10.187
51227,13.10.170,63.10.161
51228,12.10.167,23.10.188
51229,38.10.185,38.10.185
51230,83.10.075,19.10.172
51232,23.10.188,14.10.054
51233,9.10.165,13.10.169
51234,2.10.018,33.10.083
51235,33.10.083,2.10.018
51236,58.10.029,82.10.133
51237,23.10.188,59.10.030
51238,39.10.187,28.10.183
51240,28.10.183,28.10.183
51241,65.10.131,46.10.121
51242,82.10.133,33.10.083
51243,27.10.181,68.10.090
51244,82.10.133,82.10.133
51245,14.10.054,14.10.054
51246,38.10.185,38.10.185
51247,82.10.133,2.10.018
51248,38.10.185,12.10.167
51249,38.10.185,12.10.167
51250,82.10.133,58.10.029
51251,2.10.018,58.10.029
51252,28.10.183,13.10.170
51253,2.10.018,58.10.029
51254,27.10.181,65.10.131
51255,58.10.029,15.10.007
51256,59.10.030,38.10.185
51257,23.10.188,38.10.185
51258,23.10.188,38.10.185
51259,63.10.161,9.10.165
51260,14.10.054,38.10.185
51261,68.10.089,46.10.121
51263,66.10.162,66.10.162
51264,68.10.089,27.10.181
51265,52.10.006,66.10.162
51266,66.10.162,57.10.028
51268,52.10.006,55.10.002
51269,66.10.162,52.10.006
51271,52.10.006,55.10.002
51272,26.10.103,7.10.061
51273,57.10.028,73.10.037
51274,66.10.162,55.10.002
51275,82.10.133,15.10.007
51276,55.10.002,57.10.028
51277,66.10.162,73.10.037
51278,27.10.181,46.10.121
51279,57.10.028,52.10.006
51280,55.10.002,57.10.028
51281,73.10.037,57.10.028
51282,55.10.002,55.10.002
51283,84.10.040,7.10.061
51284,65.10.131,46.10.121
51286,7.10.061,7.10.061
51288,52.10.006,57.10.028
51289,66.10.162,57.10.028
51290,57.10.028,66.10.162
51291,57.10.028,66.10.162
51292,39.10.187,28.10.183
51293,66.10.162,73.10.037
51294,8.10.071,21.10.175
51295,66.10.162,66.10.162
51296,36.10.112,36.10.112
51297,8.10.071,36.10.112
