"";"species";"g";"ntraits";"nPop";"nFam";"dims";"ndims";"traitgroups";"emean";"emin";"emax";"cmean";"imean";"d";"dmean";"betaT";"betaT_SE";"r2T";"betaT_cond";"r2T_cond";"betaG";"betaG_SE";"r2G";"betaD";"betaD_SE";"r2D";"betaD_cond";"r2D_cond";"betaP";"r2P";"betaP_cond";"r2P_cond";"r2All";"theta"
"11";"Brassica_cretica";"Brassica cretica: Mk";7;5;31;"coun+line+rati";3;"flo+lif+veg";6,45;0,185;25;0,739;0,837;"Brassica cretica: Widen et al 2002 greenhouse";0,115;0,632;0,053;0,784;0,209;0,435;0,702;0,187;0,788;1,74;0,476;0,527;1,68;0,682;NA;NA;NA;NA;0,334;68,5
"12";"Brassica_cretica";"Brassica cretica: Ro";7;5;25;"coun+line+rati";3;"flo+lif+veg";3,64;0,0668;12,7;0,48;0,809;"Brassica cretica: Widen et al 2002 greenhouse";0,112;0,719;0,07;0,752;0,287;0,642;0,499;0,218;0,635;1,29;0,249;0,524;1,19;0,471;NA;NA;NA;NA;0,405;79,4
"13";"Brassica_cretica";"Brassica cretica: To";7;5;32;"coun+line+rati";3;"flo+lif+veg";4,97;0,212;22,1;0,961;0,694;"Brassica cretica: Widen et al 2002 greenhouse";0,12;0,733;0,059;0,767;0,758;0,49;0,563;0,256;0,76;1,35;0,43;0,433;2,12;0,501;NA;NA;NA;NA;0,301;58,3
"14";"Spergularia_marina";"Spergularia marina: ASC";6;4;15;"area+coun+mass";3;"flo";6,04;0,132;20,6;1,23;0,737;"Spergularia marina: Delesalle and Mazer 1995 greenhouse";0,00583;0,208;0,095;0,081;0,281;0,154;0,237;0,079;0,243;0,653;0,643;0,094;1,82;0,321;0,208;0,073;0,301;0,143;0,044;60,3
"15";"Spergularia_marina";"Spergularia marina: COP";6;4;15;"area+coun+mass";3;"flo";2;0,153;4,89;0,99;0,468;"Spergularia marina: Delesalle and Mazer 1995 greenhouse";0,00583;1,14;0,485;0,333;0,368;0,086;0,74;0,111;0,638;1,17;0,37;0,401;0,83;0,278;1,3;0,598;0,84;0,429;0,371;47,3
"16";"Spergularia_marina";"Spergularia marina: MSH";6;4;15;"area+coun+mass";3;"flo";4,6;0,271;15,4;1,65;0,553;"Spergularia marina: Delesalle and Mazer 1995 greenhouse";0,00583;0,261;0,118;0,077;0,275;0,074;0,358;0,152;0,482;2,12;0,574;0,809;1,88;0,457;0,454;0,246;0,395;0,212;0,158;38,2
"17";"Spergularia_marina";"Spergularia marina: SMB";6;4;15;"area+coun+mass";3;"flo";1,94;0,147;5,4;0,723;0,569;"Spergularia marina: Delesalle and Mazer 1995 greenhouse";0,00583;0,254;0,182;0,043;0,379;0,116;0,414;0,212;0,326;1,15;0,928;0,16;0,959;0,207;0,358;0,097;0,251;0,061;0,066;67,9
"18";"Solanum_carolinense";"Solanum carolinense: Landfill";5;3;10;"coun+line";2;"flo";1,69;0,187;4,35;0,586;0,587;"Solanum carolinense: Elle 1998 greenhouse";0,0866;0,713;0,452;0,186;0,697;0,197;0,669;0,398;0,265;1,17;0,529;0,199;1,68;0,336;NA;NA;NA;NA;0,16;84,6
"19";"Solanum_carolinense";"Solanum carolinense: Old Field";5;3;10;"coun+line";2;"flo";3,07;0,27;12,7;0,635;0,652;"Solanum carolinense: Elle 1998 greenhouse";0,0866;1,31;0,577;0,793;1,22;0,782;1,07;0,2;0,619;1,56;0,383;0,615;1,53;0,588;NA;NA;NA;NA;0,615;6,5
"20";"Solanum_carolinense";"Solanum carolinense: Sheep Pasture";5;3;8;"coun+line";2;"flo";2,02;0,205;8,14;0,514;0,583;"Solanum carolinense: Elle 1998 greenhouse";0,0866;1,4;0,161;0,749;1,39;0,798;1,52;0,294;0,863;1,76;0,426;0,64;1,9;0,722;NA;NA;NA;NA;0,691;10,6
"21";"Clarkia_dudleyana";"Clarkia dudleyana: Tanbark Flats (124)";4;11;276;"line";1;"flo";0,822;0,354;1,97;0,581;0,165;"Clarkia dudleyana: Podolsky et al. 1997 greenhouse";0,00331;0,898;0,083;0,356;0,919;0,277;0,45;0,202;0,153;1,57;0,134;0,273;1,36;0,167;NA;NA;NA;NA;0,201;74,2
"22";"Ipomopsis_aggregata";"Ipomopsis aggregata: Vera Falls";4;3;32;"line+mass";2;"flo";0,636;0,00923;2,06;0,0687;0,827;"Ipomopsis aggregata: Campbell unpublished 2019 field";0,00174;-0,131;0,058;0,053;-0,188;0,291;0,198;0,032;0,376;0,291;0,087;0,166;0,264;0,303;0,112;0,108;0,107;0,167;0,09;78,2
"23";"Ipomopsis_aggregata";"Ipomopsis aggregata: Vera Falls";4;7;32;"line+mass+rati";3;"flo";0,852;0,0704;2,07;0,319;0,544;"Ipomopsis aggregata: Caruso 2000 field";0,00443;0,386;0,082;0,292;0,339;0,296;0,098;0,097;0,066;1,64;0,605;0,319;2,14;0,327;0,199;0,243;0,176;0,2;0,059;83,4
"24";"Ipomopsis_aggregata";"Ipomopsis aggregata: Vera Falls";3;5;32;"line+mass";2;"flo";0,807;0,0992;2,06;0,293;0,448;"Ipomopsis aggregata: Caruso 2001 field";0,000918;-0,014;0,017;0,005;-0,011;0,003;0,393;0,069;0,286;0,639;0,085;0,435;0,708;0,37;0,411;0,273;0,414;0,277;0,201;65,8
